Limitation,Origin,Consequence,Mitigation
The dataset contains no clinic-level information,"Section 2: 14 columns, all national labour-force indicators","PEME demand, patient volume, revenue and staffing cannot be forecast. The link from national employment to clinic activity is assumed, not measured",Every conclusion is framed as an external planning signal; the Not_Supported column of Section 24 states the boundary for each recommendation
Observation frequency changes partway through the record,"Section 4.3: quarterly to Oct 2020, monthly from Jan 2021",The 129 observations cannot be modelled as one sequence; only 66 equally spaced monthly observations are available for forecasting,Three separate views with defined purposes (Section 5); interpolation and quarterly averaging both rejected with stated reasons
The monthly series is short,"Section 4.3: n = 66, approximately 5.5 annual cycles","Model complexity is constrained; seasonal specifications estimate 12 factors from ~5 observations per month, and Holt-Winters ranked 7th of 8 as a direct result",Candidate set restricted to low-order specifications; AICc used for order selection; seasonal strength calibrated by permutation rather than by a rule of thumb
The frequency change coincides with the COVID recovery,"Section 5: monthly reporting begins Jan 2021, within the recovery","The only continuously monthly data available is recovery-affected, and the two effects cannot be fully separated","Parallel trimmed window (View B-T) with a cut-point fixed in advance; Section 21 shows the two windows differ by 0.017 pp, far below forecast uncertainty"
The quarterly robustness check is not independent,Section 4.4: 22 of 85 View C observations fall in the monthly era,Agreement between the monthly and quarterly forecasts is partly structural and is weaker evidence than agreement between separate samples,"Stated explicitly in Section 20; the check is reported as establishing absence of contradiction, not independent confirmation"
The model is univariate,Sections 13-16: all candidates use only the history of the employment rate,"Inflation, GDP, policy changes, sectoral shifts and external shocks are not represented; turning points driven by such factors cannot be anticipated",Forecast presented with uncertainty intervals and explicitly conditioned on absence of major disruption; the Section 14 error analysis shows the model did not anticipate the late-2025 easing
Forecast intervals are conservative rather than well calibrated,Section 18: model interval width is 1.5x to 2.9x the observed error spread,The model's own intervals span several activity bands and cannot discriminate between them,An empirical range built from genuine out-of-sample errors is reported alongside and is used for band confidence; both are shown so the difference is visible
The reference distribution covers no downturn,"Section 22: current-regime reference is 56 observations from Nov 2021, entirely post-recovery",A genuine deterioration would fall below the whole reference range and be reported as Subdued without any indication of severity,The full-history classification is reported in every signal row as a second reference point
The final six months of the file are unpublished,Section 3.5: Jul-Dec 2026 are trailing empty months,The forecast horizon cannot be verified against actual outcomes within this study,"Accuracy is estimated instead from a 12-month holdout and 13 rolling origins, all evaluated against observed data"
"Period boundaries are conventions, not estimated breakpoints","Section 7.1: pre-COVID, pandemic and post-recovery boundaries set by known events",Period comparisons are descriptive; they do not establish statistically distinct regimes,Stated wherever such comparisons are made; the level shift was independently verified on equally spaced data in Section 9.1
